cve_id,published,last_modified,vuln_status,cwe_id,nvd_extracted_at_utc,cvss_version,cvss_source,base_score,severity,attack_vector,attack_complexity,privileges_required,user_interaction,confidentiality_impact,integrity_impact,availability_impact,vendor_project,product,vulnerability_name,date_added,short_description,required_action,due_date,known_ransomware_campaign_use,notes,kev_extracted_at_utc,in_kev,days_to_kev
CVE-2024-37473,2025-01-02 12:15:20.850000+00:00,2026-06-17 07:38:25.973000+00:00,Deferred,CWE-352,2026-09-10T23:40:04.178604Z,3.1,audit@patchstack.com,4.3,MEDIUM,NETWORK,LOW,NONE,REQUIRED,NONE,LOW,NONE,,,,,,,,,,,0,
CVE-2024-38751,2025-01-02 12:15:22.680000+00:00,2026-06-17 07:40:59.820000+00:00,Deferred,CWE-352,2026-09-10T23:40:04.178604Z,3.1,audit@patchstack.com,4.3,MEDIUM,NETWORK,LOW,NONE,REQUIRED,NONE,LOW,NONE,,,,,,,,,,,0,
CVE-2024-38763,2025-01-02 12:15:23.207000+00:00,2026-06-17 07:41:01.100000+00:00,Deferred,CWE-352,2026-09-10T23:40:04.178604Z,3.1,audit@patchstack.com,4.3,MEDIUM,NETWORK,LOW,NONE,REQUIRED,NONE,LOW,NONE,,,,,,,,,,,0,
CVE-2024-38789,2025-01-02 12:15:23.633000+00:00,2026-06-17 07:41:03.773000+00:00,Deferred,CWE-352,2026-09-10T23:40:04.178604Z,3.1,audit@patchstack.com,5.4,MEDIUM,NETWORK,LOW,NONE,REQUIRED,NONE,LOW,LOW,,,,,,,,,,,0,
CVE-2024-56251,2025-01-02 12:15:26.840000+00:00,2026-06-17 08:11:55.560000+00:00,Deferred,CWE-352,2026-09-10T23:40:04.178604Z,3.1,audit@patchstack.com,4.3,MEDIUM,NETWORK,LOW,NONE,REQUIRED,NONE,LOW,NONE,,,,,,,,,,,0,
CVE-2024-56253,2025-01-02 12:15:27.110000+00:00,2026-06-17 08:11:55.770000+00:00,Deferred,CWE-862,2026-09-10T23:40:04.178604Z,3.1,audit@patchstack.com,5.4,MEDIUM,NETWORK,LOW,LOW,NONE,NONE,LOW,LOW,,,,,,,,,,,0,
CVE-2024-56259,2025-01-02 12:15:27.647000+00:00,2026-06-17 08:11:56.383000+00:00,Modified,CWE-79,2026-09-10T23:40:04.178604Z,3.1,nvd@nist.gov,5.4,MEDIUM,NETWORK,LOW,LOW,REQUIRED,LOW,LOW,NONE,,,,,,,,,,,0,
CVE-2024-38778,2025-01-02 13:15:07.520000+00:00,2026-06-17 07:41:02.607000+00:00,Deferred,CWE-352,2026-09-10T23:40:04.178604Z,3.1,audit@patchstack.com,4.3,MEDIUM,NETWORK,LOW,NONE,REQUIRED,NONE,LOW,NONE,,,,,,,,,,,0,
CVE-2023-48758,2025-01-02 15:15:20.920000+00:00,2026-06-17 06:34:54.617000+00:00,Deferred,CWE-862,2026-09-10T23:40:04.178604Z,3.1,audit@patchstack.com,7.1,HIGH,NETWORK,LOW,LOW,NONE,NONE,LOW,HIGH,,,,,,,,,,,0,
CVE-2024-56137,2025-01-02 15:15:24.283000+00:00,2026-06-17 08:11:44.880000+00:00,Analyzed,CWE-78,2026-09-10T23:40:04.178604Z,3.1,nvd@nist.gov,7.2,HIGH,NETWORK,LOW,HIGH,NONE,HIGH,HIGH,HIGH,,,,,,,,,,,0,
CVE-2024-55540,2025-01-02 16:15:07.847000+00:00,2026-06-17 08:11:12.327000+00:00,Analyzed,CWE-427,2026-09-10T23:40:04.178604Z,3.1,nvd@nist.gov,7.8,HIGH,LOCAL,LOW,NONE,REQUIRED,HIGH,HIGH,HIGH,,,,,,,,,,,0,
CVE-2024-56413,2025-01-02 16:15:08.570000+00:00,2026-06-17 08:12:09.753000+00:00,Deferred,CWE-613,2026-09-10T23:40:04.178604Z,3.0,security@acronis.com,6.1,MEDIUM,ADJACENT_NETWORK,LOW,HIGH,NONE,HIGH,HIGH,NONE,,,,,,,,,,,0,
CVE-2024-56414,2025-01-02 16:15:08.693000+00:00,2026-06-17 08:12:09.857000+00:00,Deferred,CWE-328,2026-09-10T23:40:04.178604Z,3.0,security@acronis.com,5.5,MEDIUM,LOCAL,LOW,LOW,NONE,NONE,HIGH,NONE,,,,,,,,,,,0,
CVE-2024-48197,2025-01-02 19:16:23.390000+00:00,2026-07-05 16:19:08.433000+00:00,Deferred,CWE-79,2026-09-10T23:40:04.178604Z,3.1,134c704f-9b21-4f2e-91b3-4a467353bcc0,4.7,MEDIUM,NETWORK,LOW,NONE,REQUIRED,NONE,LOW,NONE,,,,,,,,,,,0,
CVE-2025-0175,2025-01-03 01:15:08.263000+00:00,2026-06-17 08:26:00.980000+00:00,Analyzed,CWE-79,2026-09-10T23:40:04.178604Z,4.0,cna@vuldb.com,5.3,MEDIUM,NETWORK,LOW,LOW,NONE,,,,,,,,,,,,,,0,
CVE-2024-53841,2025-01-03 04:15:06.893000+00:00,2026-06-17 08:09:23.850000+00:00,Analyzed,CWE-276,2026-09-10T23:40:04.178604Z,3.1,134c704f-9b21-4f2e-91b3-4a467353bcc0,7.8,HIGH,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,,,,,,,,,,,0,
CVE-2024-36613,2025-01-03 18:15:15.343000+00:00,2026-06-17 07:37:01.637000+00:00,Analyzed,CWE-190,2026-09-10T23:40:04.178604Z,3.1,134c704f-9b21-4f2e-91b3-4a467353bcc0,6.2,MEDIUM,LOCAL,LOW,NONE,NONE,NONE,NONE,HIGH,,,,,,,,,,,0,
CVE-2024-56412,2025-01-03 18:15:16.380000+00:00,2026-06-17 08:12:09.637000+00:00,Analyzed,CWE-79,2026-09-10T23:40:04.178604Z,4.0,security-advisories@github.com,4.8,MEDIUM,NETWORK,LOW,LOW,ACTIVE,,,,,,,,,,,,,,0,
CVE-2025-22383,2025-01-04 02:15:06.797000+00:00,2026-06-17 08:46:55.457000+00:00,Analyzed,CWE-79,2026-09-10T23:40:04.178604Z,3.1,134c704f-9b21-4f2e-91b3-4a467353bcc0,4.6,MEDIUM,NETWORK,LOW,LOW,REQUIRED,LOW,LOW,NONE,,,,,,,,,,,0,
CVE-2025-22389,2025-01-04 02:15:07.600000+00:00,2026-06-17 08:46:58.843000+00:00,Analyzed,CWE-434,2026-09-10T23:40:04.178604Z,3.1,134c704f-9b21-4f2e-91b3-4a467353bcc0,8.0,HIGH,NETWORK,LOW,LOW,REQUIRED,HIGH,HIGH,HIGH,,,,,,,,,,,0,
CVE-2024-10932,2025-01-04 08:15:05.713000+00:00,2026-06-17 06:56:43.550000+00:00,Deferred,CWE-502,2026-09-10T23:40:04.178604Z,3.1,security@wordfence.com,8.8,HIGH,NETWORK,LOW,NONE,REQUIRED,HIGH,HIGH,HIGH,,,,,,,,,,,0,
CVE-2024-12279,2025-01-04 12:15:24.453000+00:00,2026-06-17 06:59:24.813000+00:00,Analyzed,CWE-352,2026-09-10T23:40:04.178604Z,3.1,security@wordfence.com,6.1,MEDIUM,NETWORK,LOW,NONE,REQUIRED,LOW,LOW,NONE,,,,,,,,,,,0,
CVE-2025-0220,2025-01-05 13:15:05.850000+00:00,2026-06-17 08:26:06.383000+00:00,Deferred,CWE-79,2026-09-10T23:40:04.178604Z,4.0,cna@vuldb.com,5.1,MEDIUM,NETWORK,LOW,HIGH,NONE,,,,,,,,,,,,,,0,
CVE-2025-0224,2025-01-05 17:15:06.027000+00:00,2026-06-17 08:26:06.920000+00:00,Deferred,CWE-200,2026-09-10T23:40:04.178604Z,4.0,cna@vuldb.com,6.9,MEDIUM,NETWORK,LOW,NONE,NONE,,,,,,,,,,,,,,0,
CVE-2024-20149,2025-01-06 04:15:07.193000+00:00,2026-06-17 07:06:05.357000+00:00,Analyzed,CWE-1284,2026-09-10T23:40:04.178604Z,3.1,134c704f-9b21-4f2e-91b3-4a467353bcc0,7.5,HIGH,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,,,,,,,,,,,0,
CVE-2024-11849,2025-01-06 06:15:06.390000+00:00,2026-06-17 06:58:34.747000+00:00,Analyzed,CWE-79,2026-09-10T23:40:04.178604Z,3.1,134c704f-9b21-4f2e-91b3-4a467353bcc0,6.1,MEDIUM,NETWORK,LOW,NONE,REQUIRED,LOW,LOW,NONE,,,,,,,,,,,0,
CVE-2024-23366,2025-01-06 11:15:07.977000+00:00,2026-06-17 07:12:47.253000+00:00,Analyzed,CWE-125,2026-09-10T23:40:04.178604Z,3.1,nvd@nist.gov,5.5,MEDIUM,LOCAL,LOW,LOW,NONE,HIGH,NONE,NONE,,,,,,,,,,,0,
CVE-2024-43064,2025-01-06 11:15:09.073000+00:00,2026-06-17 07:50:22.707000+00:00,Analyzed,CWE-770,2026-09-10T23:40:04.178604Z,3.1,nvd@nist.gov,4.7,MEDIUM,LOCAL,HIGH,LOW,NONE,NONE,NONE,HIGH,,,,,,,,,,,0,
CVE-2024-45548,2025-01-06 11:15:09.887000+00:00,2026-06-17 07:54:24.827000+00:00,Analyzed,CWE-125,2026-09-10T23:40:04.178604Z,3.1,product-security@qualcomm.com,7.8,HIGH,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,,,,,,,,,,,0,
CVE-2024-8474,2025-01-06 15:15:14.983000+00:00,2026-06-17 08:22:40.657000+00:00,Analyzed,CWE-212,2026-09-10T23:40:04.178604Z,3.1,134c704f-9b21-4f2e-91b3-4a467353bcc0,7.5,HIGH,NETWORK,LOW,NONE,NONE,HIGH,NONE,NONE,,,,,,,,,,,0,
CVE-2024-51112,2025-01-06 16:15:28.943000+00:00,2026-07-05 01:21:00.810000+00:00,Modified,CWE-79,2026-09-10T23:40:04.178604Z,3.1,134c704f-9b21-4f2e-91b3-4a467353bcc0,6.1,MEDIUM,NETWORK,LOW,NONE,REQUIRED,LOW,LOW,NONE,,,,,,,,,,,0,
CVE-2024-55529,2025-01-06 18:15:22.183000+00:00,2026-06-17 08:11:11.820000+00:00,Analyzed,CWE-94,2026-09-10T23:40:04.178604Z,3.1,134c704f-9b21-4f2e-91b3-4a467353bcc0,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH,,,,,,,,,,,0,
CVE-2024-46981,2025-01-06 22:15:09.360000+00:00,2026-06-17 07:56:18.577000+00:00,Analyzed,CWE-416,2026-09-10T23:40:04.178604Z,3.1,nvd@nist.gov,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH,,,,,,,,,,,0,
CVE-2024-53931,2025-01-06 22:15:10.070000+00:00,2026-06-17 08:09:30.870000+00:00,Deferred,CWE-732,2026-09-10T23:40:04.178604Z,3.1,134c704f-9b21-4f2e-91b3-4a467353bcc0,9.1,CRITICAL,NETWORK,LOW,NONE,NONE,HIGH,HIGH,NONE,,,,,,,,,,,0,
CVE-2024-11934,2025-01-07 04:15:07.520000+00:00,2026-06-17 06:58:43.667000+00:00,Deferred,CWE-79,2026-09-10T23:40:04.178604Z,3.1,security@wordfence.com,6.4,MEDIUM,NETWORK,LOW,LOW,NONE,LOW,LOW,NONE,,,,,,,,,,,0,
CVE-2024-12457,2025-01-07 05:15:19.453000+00:00,2026-06-17 06:59:45.170000+00:00,Deferred,CWE-79,2026-09-10T23:40:04.178604Z,3.1,security@wordfence.com,6.4,MEDIUM,NETWORK,LOW,LOW,NONE,LOW,LOW,NONE,,,,,,,,,,,0,
CVE-2024-12470,2025-01-07 05:15:19.823000+00:00,2026-06-17 06:59:46.573000+00:00,Deferred,CWE-266,2026-09-10T23:40:04.178604Z,3.1,security@wordfence.com,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH,,,,,,,,,,,0,
CVE-2024-12261,2025-01-07 06:15:15.593000+00:00,2026-06-17 06:59:21.357000+00:00,Deferred,CWE-79,2026-09-10T23:40:04.178604Z,3.1,security@wordfence.com,6.1,MEDIUM,NETWORK,LOW,NONE,REQUIRED,LOW,LOW,NONE,,,,,,,,,,,0,
CVE-2024-12624,2025-01-07 07:15:27.747000+00:00,2026-06-17 07:00:09.990000+00:00,Analyzed,CWE-79,2026-09-10T23:40:04.178604Z,3.1,nvd@nist.gov,5.4,MEDIUM,NETWORK,LOW,LOW,REQUIRED,LOW,LOW,NONE,,,,,,,,,,,0,
CVE-2024-11626,2025-01-07 08:15:24.613000+00:00,2026-06-17 06:58:06.073000+00:00,Analyzed,CWE-79,2026-09-10T23:40:04.178604Z,3.1,nvd@nist.gov,4.8,MEDIUM,NETWORK,LOW,HIGH,REQUIRED,LOW,LOW,NONE,,,,,,,,,,,0,
CVE-2024-49633,2025-01-07 11:15:07.570000+00:00,2026-06-17 08:00:11.393000+00:00,Modified,CWE-79,2026-09-10T23:40:04.178604Z,3.1,nvd@nist.gov,6.1,MEDIUM,NETWORK,LOW,NONE,REQUIRED,LOW,LOW,NONE,,,,,,,,,,,0,
CVE-2024-51715,2025-01-07 11:15:08.460000+00:00,2026-06-17 08:06:11.890000+00:00,Modified,CWE-89,2026-09-10T23:40:04.178604Z,3.1,audit@patchstack.com,8.5,HIGH,NETWORK,LOW,LOW,NONE,HIGH,NONE,LOW,,,,,,,,,,,0,
CVE-2025-22327,2025-01-07 11:15:16.870000+00:00,2026-06-17 08:46:30.193000+00:00,Deferred,CWE-79,2026-09-10T23:40:04.178604Z,3.1,audit@patchstack.com,6.5,MEDIUM,NETWORK,LOW,LOW,REQUIRED,LOW,LOW,LOW,,,,,,,,,,,0,
CVE-2025-22353,2025-01-07 11:15:18.693000+00:00,2026-06-17 08:46:42.657000+00:00,Deferred,CWE-79,2026-09-10T23:40:04.178604Z,3.1,audit@patchstack.com,7.1,HIGH,NETWORK,LOW,NONE,REQUIRED,LOW,LOW,LOW,,,,,,,,,,,0,
CVE-2025-22362,2025-01-07 11:15:19.453000+00:00,2026-06-17 08:46:47.070000+00:00,Deferred,CWE-79,2026-09-10T23:40:04.178604Z,3.1,audit@patchstack.com,6.5,MEDIUM,NETWORK,LOW,LOW,REQUIRED,LOW,LOW,LOW,,,,,,,,,,,0,
CVE-2024-12033,2025-01-07 12:15:23.900000+00:00,2026-06-17 06:58:55.490000+00:00,Analyzed,CWE-862,2026-09-10T23:40:04.178604Z,3.1,security@wordfence.com,4.3,MEDIUM,NETWORK,LOW,LOW,NONE,NONE,LOW,NONE,,,,,,,,,,,0,
CVE-2024-12532,2025-01-07 12:15:24.363000+00:00,2026-06-17 06:59:53.763000+00:00,Deferred,CWE-200,2026-09-10T23:40:04.178604Z,3.1,security@wordfence.com,4.3,MEDIUM,NETWORK,LOW,LOW,NONE,LOW,NONE,NONE,,,,,,,,,,,0,
CVE-2024-52366,2025-01-07 12:15:24.680000+00:00,2026-06-17 08:07:05.877000+00:00,Analyzed,CWE-327,2026-09-10T23:40:04.178604Z,3.1,psirt@us.ibm.com,5.9,MEDIUM,NETWORK,HIGH,NONE,NONE,HIGH,NONE,NONE,,,,,,,,,,,0,
CVE-2024-52813,2025-01-07 16:15:35.610000+00:00,2026-06-17 08:07:40.437000+00:00,Deferred,CWE-223,2026-09-10T23:40:04.178604Z,3.1,security-advisories@github.com,4.3,MEDIUM,NETWORK,LOW,LOW,NONE,LOW,NONE,NONE,,,,,,,,,,,0,
CVE-2025-22528,2025-01-07 16:15:47.987000+00:00,2026-06-17 08:48:01.333000+00:00,Deferred,CWE-79,2026-09-10T23:40:04.178604Z,3.1,audit@patchstack.com,6.5,MEDIUM,NETWORK,LOW,LOW,REQUIRED,LOW,LOW,LOW,,,,,,,,,,,0,
CVE-2025-22529,2025-01-07 16:15:48.180000+00:00,2026-06-17 08:48:01.810000+00:00,Deferred,CWE-79,2026-09-10T23:40:04.178604Z,3.1,audit@patchstack.com,6.5,MEDIUM,NETWORK,LOW,LOW,REQUIRED,LOW,LOW,LOW,,,,,,,,,,,0,
CVE-2025-22550,2025-01-07 16:15:50.960000+00:00,2026-06-17 08:48:11.897000+00:00,Deferred,CWE-79,2026-09-10T23:40:04.178604Z,3.1,audit@patchstack.com,6.5,MEDIUM,NETWORK,LOW,LOW,REQUIRED,LOW,LOW,LOW,,,,,,,,,,,0,
CVE-2025-22563,2025-01-07 16:15:52.940000+00:00,2026-06-17 08:48:18.047000+00:00,Deferred,CWE-352,2026-09-10T23:40:04.178604Z,3.1,audit@patchstack.com,4.3,MEDIUM,NETWORK,LOW,NONE,REQUIRED,NONE,LOW,NONE,,,,,,,,,,,0,
CVE-2025-22584,2025-01-07 16:15:54.780000+00:00,2026-06-17 08:48:28.150000+00:00,Deferred,CWE-79,2026-09-10T23:40:04.178604Z,3.1,audit@patchstack.com,6.5,MEDIUM,NETWORK,LOW,LOW,REQUIRED,LOW,LOW,LOW,,,,,,,,,,,0,
CVE-2024-35532,2025-01-07 20:15:29.627000+00:00,2026-06-17 07:34:59.023000+00:00,Deferred,CWE-125,2026-09-10T23:40:04.178604Z,3.1,134c704f-9b21-4f2e-91b3-4a467353bcc0,9.1,CRITICAL,NETWORK,LOW,NONE,NONE,HIGH,NONE,HIGH,,,,,,,,,,,0,
CVE-2024-56447,2025-01-08 03:15:10.190000+00:00,2026-06-17 08:12:12.467000+00:00,Analyzed,CWE-276,2026-09-10T23:40:04.178604Z,3.1,nvd@nist.gov,7.5,HIGH,NETWORK,LOW,NONE,NONE,HIGH,NONE,NONE,,,,,,,,,,,0,
CVE-2024-56451,2025-01-08 04:15:07.653000+00:00,2026-06-17 08:12:12.910000+00:00,Analyzed,CWE-190,2026-09-10T23:40:04.178604Z,3.1,nvd@nist.gov,5.5,MEDIUM,LOCAL,LOW,LOW,NONE,NONE,NONE,HIGH,,,,,,,,,,,0,
CVE-2024-13186,2025-01-08 09:15:07.180000+00:00,2026-06-17 07:01:24.710000+00:00,Deferred,CWE-306,2026-09-10T23:40:04.178604Z,4.0,security@vivo.com,6.3,MEDIUM,NETWORK,LOW,NONE,PASSIVE,,,,,,,,,,,,,,0,
CVE-2024-9939,2025-01-08 09:15:07.577000+00:00,2026-06-17 08:25:33.120000+00:00,Modified,CWE-22,2026-09-10T23:40:04.178604Z,3.1,security@wordfence.com,7.5,HIGH,NETWORK,LOW,NONE,NONE,HIGH,NONE,NONE,,,,,,,,,,,0,
CVE-2024-51737,2025-01-08 16:15:35.170000+00:00,2026-06-17 08:06:13.420000+00:00,Deferred,CWE-122,2026-09-10T23:40:04.178604Z,3.1,security-advisories@github.com,7.0,HIGH,LOCAL,HIGH,LOW,NONE,HIGH,HIGH,HIGH,,,,,,,,,,,0,
CVE-2023-35685,2025-01-08 18:15:15.033000+00:00,2026-06-17 06:05:00.427000+00:00,Modified,CWE-416,2026-09-10T23:40:04.178604Z,3.1,nvd@nist.gov,7.8,HIGH,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,,,,,,,,,,,0,
CVE-2024-56778,2025-01-08 18:15:18.683000+00:00,2026-06-17 08:12:58.297000+00:00,Modified,CWE-754,2026-09-10T23:40:04.178604Z,3.1,nvd@nist.gov,5.5,MEDIUM,LOCAL,LOW,LOW,NONE,NONE,NONE,HIGH,,,,,,,,,,,0,
CVE-2024-56782,2025-01-08 18:15:19.147000+00:00,2026-06-17 08:12:58.887000+00:00,Modified,CWE-476,2026-09-10T23:40:04.178604Z,3.1,nvd@nist.gov,5.5,MEDIUM,LOCAL,LOW,LOW,NONE,NONE,NONE,HIGH,,,,,,,,,,,0,
CVE-2024-56786,2025-01-08 18:15:19.633000+00:00,2025-06-19 13:15:46.830000+00:00,Rejected,,2026-09-10T23:40:04.178604Z,,,,,,,,,,,,,,,,,,,,,,0,
CVE-2024-45342,2025-01-08 20:15:27.583000+00:00,2025-01-08 20:15:27.583000+00:00,Rejected,,2026-09-10T23:40:04.178604Z,,,,,,,,,,,,,,,,,,,,,,0,
CVE-2025-0283,2025-01-08 23:15:09.920000+00:00,2026-06-17 08:26:12.630000+00:00,Analyzed,CWE-787,2026-09-10T23:40:04.178604Z,3.1,nvd@nist.gov,7.0,HIGH,LOCAL,HIGH,LOW,NONE,HIGH,HIGH,HIGH,,,,,,,,,,,0,
CVE-2024-13197,2025-01-09 00:15:25.973000+00:00,2026-06-17 07:01:26.517000+00:00,Analyzed,CWE-79,2026-09-10T23:40:04.178604Z,4.0,cna@vuldb.com,5.3,MEDIUM,NETWORK,LOW,LOW,NONE,,,,,,,,,,,,,,0,
CVE-2023-28120,2025-01-09 01:15:07.637000+00:00,2026-06-17 05:46:54.923000+00:00,Deferred,CWE-79,2026-09-10T23:40:04.178604Z,3.1,134c704f-9b21-4f2e-91b3-4a467353bcc0,5.3,MEDIUM,NETWORK,LOW,NONE,NONE,NONE,LOW,NONE,,,,,,,,,,,0,
CVE-2024-37372,2025-01-09 01:15:08.500000+00:00,2026-06-17 07:38:14.667000+00:00,Deferred,CWE-22,2026-09-10T23:40:04.178604Z,3.0,support@hackerone.com,3.6,LOW,LOCAL,HIGH,NONE,REQUIRED,LOW,LOW,NONE,,,,,,,,,,,0,
CVE-2025-0306,2025-01-09 04:15:13+00:00,2026-06-30 00:16:49.667000+00:00,Deferred,CWE-385,2026-09-10T23:40:04.178604Z,3.1,secalert@redhat.com,7.4,HIGH,NETWORK,HIGH,NONE,NONE,HIGH,HIGH,NONE,,,,,,,,,,,0,
CVE-2024-6324,2025-01-09 06:15:15.390000+00:00,2026-06-17 08:17:46.797000+00:00,Analyzed,CWE-407,2026-09-10T23:40:04.178604Z,3.1,nvd@nist.gov,4.3,MEDIUM,NETWORK,LOW,LOW,NONE,NONE,NONE,LOW,,,,,,,,,,,0,
CVE-2024-53706,2025-01-09 07:15:27.520000+00:00,2026-06-17 08:09:08.567000+00:00,Deferred,CWE-269,2026-09-10T23:40:04.178604Z,3.1,134c704f-9b21-4f2e-91b3-4a467353bcc0,7.8,HIGH,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,,,,,,,,,,,0,
CVE-2024-43658,2025-01-09 08:15:28.867000+00:00,2026-06-17 07:51:30.790000+00:00,Deferred,CWE-27,2026-09-10T23:40:04.178604Z,4.0,csirt@divd.nl,7.2,HIGH,NETWORK,LOW,LOW,NONE,,,,,,,,,,,,,,0,
CVE-2025-0348,2025-01-09 10:15:07.700000+00:00,2026-06-17 08:26:19.607000+00:00,Analyzed,CWE-79,2026-09-10T23:40:04.178604Z,4.0,cna@vuldb.com,5.3,MEDIUM,NETWORK,LOW,LOW,NONE,,,,,,,,,,,,,,0,
CVE-2024-12496,2025-01-09 11:15:13.937000+00:00,2026-06-17 06:59:50.043000+00:00,Deferred,CWE-79,2026-09-10T23:40:04.178604Z,3.1,security@wordfence.com,6.4,MEDIUM,NETWORK,LOW,LOW,NONE,LOW,LOW,NONE,,,,,,,,,,,0,
CVE-2024-43176,2025-01-09 14:15:26.770000+00:00,2026-06-17 07:50:34.007000+00:00,Analyzed,CWE-282,2026-09-10T23:40:04.178604Z,3.1,nvd@nist.gov,5.4,MEDIUM,NETWORK,LOW,LOW,NONE,LOW,LOW,NONE,,,,,,,,,,,0,
CVE-2025-22505,2025-01-09 16:16:27.280000+00:00,2026-06-17 08:47:50.313000+00:00,Deferred,CWE-89,2026-09-10T23:40:04.178604Z,3.1,audit@patchstack.com,8.5,HIGH,NETWORK,LOW,LOW,NONE,HIGH,NONE,LOW,,,,,,,,,,,0,
